"predator_class","predator_name","num_stb_killed"
"SHAMAN","Thrall",59976
"ROGUE","Backstab",43622
"WARRIOR","Garrosh Hellscream",43240
"SHAMAN","Maelstrom Portal",41655
"SHAMAN","Lightning Storm",38068
"DRUID","Living Roots",32033
"WARLOCK","Demonwrath",27858
"SHAMAN","Lightning Bolt",26423
"DRUID","Wrath",24240
"SHAMAN","Morgl the Oracle",22057
"MAGE","Volcanic Potion",21914
"WARLOCK","Hellfire",20876
"MAGE","Arcane Blast",20620
"DRUID","Swipe",18281
"PRIEST","Holy Nova",17383
"ROGUE","Valeera Sanguinar",13766
"MAGE","Blizzard",12258
"MAGE","Fireblast",12250
"MAGE","Frostbolt",11610
"ROGUE","SI:7 Agent",10736
"SHAMAN","Spirit Wolf",10233
"SHAMAN","Totem Golem",9641
"ROGUE","Fan of Knives",9500
"MAGE","Flamestrike",9431
"WARRIOR","Patches the Pirate",8690
"SHAMAN","Patches the Pirate",8504
"WARLOCK","Abyssal Enforcer",7878
"PRIEST","Dragonfire Potion",7847
"PALADIN","Consecration",7459
"MAGE","Forgotten Torch",7444
"DRUID","Malfurion Stormrage",7409
"WARLOCK","Shadowflame",7396
"SHAMAN","Jade Lightning",7320
"PRIEST","Blackwing Corruptor",7250
"PRIEST","Twilight Whelp",7240
"WARRIOR","Southsea Deckhand",7126
"ROGUE","Eviscerate",7104
"PRIEST","Wyrmrest Agent",6901
"SHAMAN","Southsea Deckhand",6230
"SHAMAN","Tunnel Trogg",5859
"PRIEST","Excavated Evil",5367
"PRIEST","Twilight Guardian",4854
"WARRIOR","Slam",4738
"WARLOCK","Kazakus Potion",4082
"WARLOCK","Imp Gang Boss",3811
"SHAMAN","Small-Time Buccaneer",3770
"MAGE","Forbidden Flame",3677
"SHAMAN","Jade Golem",3594
"MAGE","Kazakus Potion",3588
"DRUID","Jade Spirit",3420
"WARLOCK","Shadow Bolt",3370
"WARRIOR","Bloodsail Raider",3310
"DRUID","Jade Golem",3302
"PRIEST","Kabal Talonpriest",3297
"DRUID","Jade Behemoth",3281
"PRIEST","Holy Smite",3278
"WARRIOR","Bash",3275
"PALADIN","Bluegill Warrior",3152
"WARRIOR","Magni Bronzebeard",3118
"WARRIOR","Kor'kron Elite",3083
"ROGUE","Jade Shuriken",3064
"WARRIOR","Ravaging Ghoul",3033
"SHAMAN","Jinyu Waterspeaker",2867
"PALADIN","Wild Pyromancer",2856
"WARLOCK","Second-Rate Bruiser",2812
"WARLOCK","Dirty Rat",2707
"WARRIOR","Blackwing Corruptor",2699
"WARRIOR","Frothing Berserker",2698
"ROGUE","Patches the Pirate",2681
"WARRIOR","Small-Time Buccaneer",2652
"SHAMAN","Flamewreathed Faceless",2645
"ROGUE","Small-Time Buccaneer",2446
"MAGE","Arcane Missiles",2400
"SHAMAN","Jade Spirit",2332
"WARRIOR","Alexstrasza's Champion",2330
"WARRIOR","Revenge",2281
"WARRIOR","Dread Corsair",2237
"DRUID","Jade Golem",2190
"PRIEST","Northshire Cleric",2072
"WARLOCK","Kazakus Potion",2064
"WARLOCK","Dark Peddler",2051
"ROGUE","Argent Horserider",1967
"ROGUE","Southsea Deckhand",1951
"WARRIOR","Bloodsail Cultist",1929
"WARLOCK","Refreshment Vendor",1922
"DRUID","Ancient of War",1909
"WARLOCK","Mistress of Mixtures",1893
"WARLOCK","Twilight Drake",1889
"SHAMAN","Thing from Below",1840
"MAGE","Dirty Rat",1804
"SHAMAN","Jade Golem",1773
"WARLOCK","Mortal Coil",1768
"DRUID","Disciple of C'Thun",1755
"PRIEST","Netherspite Historian",1746
"WARLOCK","Acidic Swamp Ooze",1706
"HUNTER","Quick Shot",1697
"WARLOCK","Soulfire",1679
"PRIEST","Drakonid Operative",1673
"SHAMAN","Azure Drake",1670
"SHAMAN","Healing Totem",1670
"MAGE","Flamewaker",1660
"SHAMAN","Elemental Destruction",1520
"SHAMAN","Jade Golem",1502
"PALADIN","Uther Lightbringer",1437
