"","player_class","card_played","improvement"
"1","DRUID","Enchanted Raven",0.112283181002322
"2","DRUID","Living Roots",0.122714550091948
"3","DRUID","Raven Idol",0.00733408597969731
"4","HUNTER","Alleycat",0.11129530708482
"5","HUNTER","Fiery Bat",0.0650606335951908
"6","HUNTER","Webspinner",0.106240823268531
"7","MAGE","Argent Squire",0.121221878706789
"8","MAGE","Babbling Book",0.0970584474606099
"9","MAGE","Clockwork Gnome",0.0663659920208176
"10","MAGE","Gadgetzan Jouster",0.0377559664503058
"11","MAGE","Kabal Lackey",0.0572247123205317
"12","MAGE","Mana Wyrm",0.0912655444527091
"13","MAGE","Mistress of Mixtures",0.0837314589472185
"14","MAGE","Worgen Infiltrator",0.0148182411375186
"15","MAGE","Zombie Chow",0.129542777886679
"16","PALADIN","Argent Squire",0.0722218246806196
"17","PALADIN","Avenge",0.0520252983381125
"18","PALADIN","Light's Justice",0.0716168640030636
"19","PALADIN","Mistress of Mixtures",0.0930433811155168
"20","PALADIN","Smuggler's Run",0.101079736150417
"21","PALADIN","Worgen Infiltrator",0.0714481730448989
"22","PALADIN","Zombie Chow",0.160111581459689
"23","PRIEST","Mistress of Mixtures",0.0615366916845982
"24","PRIEST","Northshire Cleric",0.0885192306230013
"25","PRIEST","Twilight Whelp",0.0832907742597156
"26","PRIEST","Zombie Chow",0.140028770150948
"27","ROGUE","Buccaneer",0.103771421081949
"28","ROGUE","Mistress of Mixtures",0.0936856923880508
"29","ROGUE","Pit Snake",0.113386805697334
"30","ROGUE","Small-Time Buccaneer",0.147631070204756
"31","ROGUE","Swashburglar",0.101054029777601
"32","ROGUE","Zombie Chow",0.158237652018768
"33","SHAMAN","Mistress of Mixtures",0.117495430799647
"34","SHAMAN","Spirit Claws",0.139688565515902
"35","SHAMAN","Tunnel Trogg",0.145134862781537
"36","SHAMAN","Zombie Chow",0.149909607192277
"37","WARLOCK","Argent Squire",0.101879247014445
"38","WARLOCK","Blood Imp",0.0941132699747245
"39","WARLOCK","Clockwork Gnome",0.115194921567904
"40","WARLOCK","Flame Imp",0.136254124805692
"41","WARLOCK","Malchezaar's Imp",0.103863634007349
"42","WARLOCK","Mistress of Mixtures",0.11173854659337
"43","WARLOCK","Possessed Villager",0.108542703080291
"44","WARLOCK","Voidwalker",0.100569298684629
"45","WARLOCK","Worgen Infiltrator",0.0936180047106491
"46","WARLOCK","Zombie Chow",0.175601883877013
"47","WARRIOR","I Know a Guy",-0.0084065887264505
"48","WARRIOR","N'Zoth's First Mate",0.136492724732118
