friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
PRIEST,DRUID,3,9103,40.508,0.543563346,7,-26.22228571,18.19070442,180,-1.568,4.826376744,58,2.4795,9.776506909
PRIEST,DRUID,4,6917,39.052,0.477757154,36,9.283,11.62550063,2408,6.4,1.427426141,951,-1.428,1.603763644
PRIEST,DRUID,5,7303,40.14,0.592421228,118,4.268,6.505238477,533,-2.364,2.35985352,295,-6.696,3.649113012
PRIEST,DRUID,6,7320,41.012,0.438428819,103,-1.841166667,6.275828563,568,0.536,2.203169966,492,-2.628,2.566872037
PRIEST,DRUID,7,7138,41.38,0.436134158,129,-8.104,6.254491605,434,-0.692,3.817300817,688,-0.144,2.392543885
PRIEST,DRUID,8,7005,42.316,0.511500038,120,-8.624,7.218213669,283,-3.844,3.839530587,767,-0.196,1.616089698
PRIEST,DRUID,9,6272,42.96,0.673857363,22,13.29,15.32802022,526,-6.264,2.987741451,971,2.036,1.628020283
PRIEST,DRUID,10,5779,43.888,0.688389142,31,20.27866667,10.85405258,332,-0.308,3.513009868,715,-2.408,2.402023571
PRIEST,DRUID,11,5511,44.288,0.666541475,29,-3.935368421,12.61400905,199,-1.228,4.240686398,494,3.712,2.561617725
PRIEST,DRUID,12,5408,44.796,0.677234002,18,33.77542857,12.1637139,141,-7.904,5.768227434,302,2.556,2.951625767
PRIEST,HUNTER,3,2715,59.144,0.851904278,5,0.856,32.93088022,102,-3.317913043,7.55027555,10,-31.36622222,18.2309648
PRIEST,HUNTER,4,1960,58.028,1.157780618,27,-7.045647059,11.5038568,958,7.016,1.712429728,121,-0.028,5.559034435
PRIEST,HUNTER,5,2020,58.104,0.966145534,69,-4.204,8.243593284,212,3.644,3.494765396,38,4.701263158,10.228339
PRIEST,HUNTER,6,2057,58.096,0.822787062,62,-5.256869565,10.19894903,188,-2.816,5.033758578,69,8.42573913,7.479243043
PRIEST,HUNTER,7,2081,59.968,0.907300022,72,-22.304,7.862098705,160,-1.636,6.151626402,90,7.588521739,7.502685575
PRIEST,HUNTER,8,2067,60.996,1.078673517,67,0.256,8.705405819,112,1.168,6.486892975,106,7.768,5.493959627
PRIEST,HUNTER,9,1915,61.44,1.20217321,19,13.56,13.75546726,197,-1.612,4.532196471,153,13.772,4.935375789
PRIEST,HUNTER,10,1813,61.736,1.072091156,11,16.04177778,18.2309648,108,1.024869565,5.027509499,123,12.576,6.542693265
